id,host_id,host_profile_id,host_is_superhost,host_has_profile_pic,host_identity_verified,latitude,longitude,accommodates,bathrooms,bedrooms,beds,price,minimum_nights,maximum_nights,availability_365,number_of_reviews,number_of_reviews_ltm,estimated_occupancy_l365d,review_scores_rating,calculated_host_listings_count,reviews_per_month,has_license,price_log,number_of_reviews_log,number_of_reviews_ltm_log,reviews_per_month_log,bedrooms_log,beds_log,bathrooms_log,calculated_host_listings_count_log,price_per_accommodate,price_per_min_night,room_type_Entire home/apt,room_type_Hotel room,room_type_Private room,room_type_Shared room,district_Guipúzcoa,district_Vizcaya,district_Álava,neighbourhood_price_encoded,property_type_Entire chalet,property_type_Entire condo,property_type_Entire cottage,property_type_Entire guest suite,property_type_Entire home,property_type_Entire loft,property_type_Entire rental unit,property_type_Entire serviced apartment,property_type_Entire townhouse,property_type_Entire villa,property_type_Other,property_type_Private room in bed and breakfast,property_type_Private room in cottage,property_type_Private room in guesthouse,property_type_Private room in home,property_type_Private room in hostel,property_type_Private room in rental unit,property_type_Room in aparthotel,property_type_Room in boutique hotel,property_type_Room in hotel,host_tenure_years,host_size_individual,host_size_pequeno,host_size_mediano,host_size_grande,host_entire_homes_ratio,has_reviews,listing_age_days,days_since_last_review,distance_to_center_km,n_nearby_150m,has_ac,has_pool,has_dishwasher,has_sea_view,n_amenities,host_user_tenure_years
50131455,31562043,1465463899553026816,True,True,True,43.31630325317383,-1.9736649990081787,4,1.0,2.0,3.0,389.33,2.0,1125.0,294,111,21,126,4.68,1,1.82,True,5.966992535183494,4.718498871295094,3.091042453358316,1.0367368849500225,1.0986122886681098,1.3862943611198906,0.6931471805599453,0.6931471805599453,97.3325,194.665,True,False,False,False,True,False,False,384.9671906787846,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,5.0,True,False,False,False,1.0,True,1831.0,17.0,0.6487687925952,13,False,False,True,False,47,11.166666666666666
51204780,31960758,1462656936126535424,True,True,True,43.3045,-2.2054,2,1.0,1.0,2.0,200.0,1.0,999.0,20,82,6,36,4.71,5,1.37,True,5.303304908059076,4.418840607796598,1.9459101490553132,0.8628899551470398,0.6931471805599453,1.0986122886681098,0.6931471805599453,1.791759469228055,100.0,200.0,True,False,False,False,True,False,False,276.70906525573196,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,11.166666666666666,False,True,False,False,0.2,True,1793.0,59.0,18.204683229286104,6,False,False,True,True,41,11.166666666666666
17650873,120092583,1468222745986910976,True,True,True,43.27384,-2.91801,8,3.0,5.0,5.0,627.67,2.0,29.0,272,95,7,42,4.93,1,0.85,True,6.4436064767381716,4.564348191467836,2.0794415416798357,0.6151856390902335,1.791759469228055,1.791759469228055,1.3862943611198906,0.6931471805599453,78.45875,313.835,True,False,False,False,False,True,False,211.78242676636643,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,9.25,True,False,False,False,1.0,True,3371.0,8.0,1.8289931457423376,0,False,False,True,False,71,9.25
1110107477805706515,409606573,1469870038379967488,False,False,True,43.29541,-1.96589,2,1.0,1.0,1.0,165.09,3.0,365.0,265,0,0,0,,1,0.0,False,5.112529810110908,0.0,0.0,0.0,0.6931471805599453,0.6931471805599453,0.6931471805599453,0.6931471805599453,82.545,55.03,False,False,True,False,True,False,False,384.9671906787846,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,2.25,True,False,False,False,0.0,False,,,2.83071958592072,0,True,False,False,False,22,5.0
52385528,399941727,1469836920935553280,False,True,True,43.25287,-2.93165,4,1.0,3.0,4.0,300.0,2.0,1125.0,90,100,15,90,4.69,2,1.74,True,5.707110264748875,4.61512051684126,2.772588722239781,1.007957920399979,1.3862943611198906,1.6094379124341005,0.6931471805599453,1.0986122886681098,75.0,150.0,True,False,False,False,False,True,False,211.78242676636643,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,4.916666666666667,False,True,False,False,1.0,True,1724.0,67.0,1.158612490063076,12,False,False,False,False,37,5.083333333333333
1200848358482578503,589840525,1470611607950132224,False,True,True,43.22145,-3.33265,2,3.0,1.0,1.0,99.0,1.0,365.0,264,1,1,6,5.0,5,0.77,False,4.605170185988092,0.6931471805599453,0.6931471805599453,0.5709795465857378,0.6931471805599453,0.6931471805599453,1.3862943611198906,1.791759469228055,49.5,99.0,False,False,True,False,False,True,False,257.0865044091711,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,0.6666666666666666,False,True,False,False,0.2,True,39.0,39.0,32.53987550123136,3,False,False,False,False,13,1.9166666666666663
1698793765917745628,538758881,1470415810751425536,False,True,True,43.31801501477292,-1.9685845077037811,4,1.0,2.0,3.0,198.0,1.0,365.0,222,0,0,0,,14,0.0,True,5.293304824724492,0.0,0.0,0.0,1.0986122886681098,1.3862943611198906,0.6931471805599453,2.70805020110221,49.5,198.0,True,False,False,False,True,False,False,384.9671906787846,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,1.3333333333333333,False,False,True,False,1.0,False,,,1.021091059090316,6,False,False,False,False,4,2.75
1688890368856839362,574051508,1470567514530099712,True,True,True,43.25944,-2.93375,6,2.0,3.0,4.0,226.5,1.0,1125.0,158,0,0,0,,2,0.0,True,5.427150238391005,0.0,0.0,0.0,1.3862943611198906,1.6094379124341005,1.0986122886681098,1.0986122886681098,37.75,226.5,True,False,False,False,False,True,False,211.78242676636643,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,2.1666666666666665,False,True,False,False,1.0,False,,,0.4085901232603534,16,False,False,True,False,32,2.1666666666666665
1233870852220603595,595482531,1470625506428647168,False,True,True,43.25671393553712,-2.0164791190490727,1,1.0,1.0,1.0,130.0,1.0,90.0,300,5,0,0,5.0,3,0.23,False,4.875197323201151,1.791759469228055,0.0,0.2070141693843261,0.6931471805599453,0.6931471805599453,0.6931471805599453,1.3862943611198906,130.0,130.0,False,False,True,False,True,False,False,220.1885978835979,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,1.8333333333333337,False,True,False,False,0.0,True,663.0,436.0,7.419567575828776,1,False,False,True,False,46,1.8333333333333337
54116371,45080632,1465669162965068032,False,True,True,43.18239,-2.27372,2,1.0,1.0,1.0,153.0,1.0,365.0,327,46,10,60,4.76,4,1.04,True,5.0369526024136295,3.8501476017100584,2.3978952727983707,0.712949807856125,0.6931471805599453,0.6931471805599453,0.6931471805599453,1.6094379124341005,76.5,153.0,False,False,True,False,True,False,False,209.2902052910053,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,9.666666666666666,False,True,False,False,0.0,True,1328.0,45.0,28.10104232546388,0,False,False,False,False,60,10.75
